task_id	trial	seed	vlm_ckpt	vla_prompt_last	stage_success	goal_success	stage_score_pct	extra_pour_detected	failure_reason
5	0	100	/project/peilab/why/RoboMemArena/checkpoints/PrediMem/vlm_tasks1to26_ckpt74500		0	0.2500	25.0	0	incomplete_stage
5	1	101	/project/peilab/why/RoboMemArena/checkpoints/PrediMem/vlm_tasks1to26_ckpt74500		0	0.2500	25.0	0	incomplete_stage
5	2	102	/project/peilab/why/RoboMemArena/checkpoints/PrediMem/vlm_tasks1to26_ckpt74500		0	0.2500	25.0	0	incomplete_stage
5	3	103	/project/peilab/why/RoboMemArena/checkpoints/PrediMem/vlm_tasks1to26_ckpt74500		0	0.1250	12.5	0	incomplete_stage
5	4	104	/project/peilab/why/RoboMemArena/checkpoints/PrediMem/vlm_tasks1to26_ckpt74500		0	0.0000	0.0	0	incomplete_stage
5	5	105	/project/peilab/why/RoboMemArena/checkpoints/PrediMem/vlm_tasks1to26_ckpt74500		0	0.5000	50.0	0	incomplete_stage
5	6	106	/project/peilab/why/RoboMemArena/checkpoints/PrediMem/vlm_tasks1to26_ckpt74500		0	0.2500	25.0	0	incomplete_stage
5	7	107	/project/peilab/why/RoboMemArena/checkpoints/PrediMem/vlm_tasks1to26_ckpt74500		0	0.2500	25.0	0	incomplete_stage
5	8	108	/project/peilab/why/RoboMemArena/checkpoints/PrediMem/vlm_tasks1to26_ckpt74500		0	0.2500	25.0	0	incomplete_stage
5	9	109	/project/peilab/why/RoboMemArena/checkpoints/PrediMem/vlm_tasks1to26_ckpt74500		0	0.1250	12.5	0	incomplete_stage
